158	788.8 KB 	 54075	5 ms	177.2 KB 	 1589
159	797.8 KB 	 53530	58 ms	174.5 KB 	 1543
160	784.1 KB 	 53244	5 ms	167.9 KB 	 1490
161	789.3 KB 	 54026	8 ms	170.6 KB 	 1532
162	790.3 KB 	 53549	6 ms	172.8 KB 	 1544
163	804.1 KB 	 55342	10 ms	176.3 KB 	 1594
164	800.0 KB 	 55486	2 ms	178.6 KB 	 1622
165	795.7 KB 	 55840	4 ms	168.0 KB 	 1500
166	788.4 KB 	 53158	33 ms	164.6 KB 	 1455
167	787.6 KB 	 53712	4 ms	165.6 KB 	 1471
168	785.9 KB 	 53385	5 ms	169.3 KB 	 1506
169	792.2 KB 	 53515	2 ms	170.8 KB 	 1527
170	779.6 KB 	 53237	4 ms	165.1 KB 	 1480
171	794.2 KB 	 52886	2 ms	172.3 KB 	 1549
172	786.4 KB 	 53841	2 ms	172.3 KB 	 1532
173	793.8 KB 	 54390	50 ms	174.5 KB 	 1567
174	795.2 KB 	 54783	2 ms	172.3 KB 	 1529
175	804.1 KB 	 55392	15 ms	177.5 KB 	 1605
176	791.4 KB 	 53771	5 ms	174.0 KB 	 1547
177	793.4 KB 	 53573	2 ms	176.8 KB 	 1605
178	795.3 KB 	 54671	52 ms	179.4 KB 	 1637
179	791.3 KB 	 53694	2 ms	172.0 KB 	 1544
180	785.4 KB 	 53787	2 ms	169.3 KB 	 1493
181	785.8 KB 	 54058	3 ms	164.7 KB 	 1451
182	785.5 KB 	 53022	25 ms	181.2 KB 	 1653
183	791.7 KB 	 54310	2 ms	169.1 KB 	 1497
184	780.1 KB 	 52982	58 ms	169.5 KB 	 1494
185	790.6 KB 	 54257	3 ms	173.5 KB 	 1549
186	788.3 KB 	 54194	28 ms	173.8 KB 	 1540
187	794.8 KB 	 54484	51 ms	176.5 KB 	 1578
188	797.4 KB 	 54162	5 ms	177.5 KB 	 1606
189	799.8 KB 	 54583	2 ms	175.9 KB 	 1580
190	786.0 KB 	 53148	39 ms	172.5 KB 	 1551
191	792.7 KB 	 53890	7 ms	175.8 KB 	 1566
192	779.9 KB 	 54247	3 ms	170.4 KB 	 1490
193	796.6 KB 	 53703	2 ms	178.3 KB 	 1615
194	788.7 KB 	 53513	44 ms	172.5 KB 	 1539
195	786.8 KB 	 53453	5 ms	171.9 KB 	 1527
196	797.4 KB 	 55229	3 ms	168.8 KB 	 1506
197	782.8 KB 	 53410	18 ms	169.7 KB 	 1520
198	794.4 KB 	 54803	3 ms	169.6 KB 	 1515
199	789.0 KB 	 55075	40 ms	176.5 KB 	 1584
200	789.7 KB 	 53446	8 ms	171.9 KB 	 1555
201	795.3 KB 	 53708	16 ms	172.8 KB 	 1544
202	801.2 KB 	 55013	15 ms	178.8 KB 	 1597
203	791.0 KB 	 53348	2 ms	173.1 KB 	 1519
204	789.5 KB 	 53123	52 ms	166.4 KB 	 1481
205	805.7 KB 	 54936	48 ms	178.9 KB 	 1606
206	796.6 KB 	 54300	23 ms	177.5 KB 	 1603
207	787.7 KB 	 53866	27 ms	172.1 KB 	 1545
208	786.3 KB 	 54086	2 ms	168.5 KB 	 1491
209	788.0 KB 	 54056	2 ms	164.3 KB 	 1443
210	787.1 KB 	 54232	2 ms	171.2 KB 	 1518
211	781.8 KB 	 53013	3 ms	173.3 KB 	 1554
212	791.2 KB 	 54151	49 ms	175.0 KB 	 1554
213	800.8 KB 	 55164	4 ms	177.5 KB 	 1604
214	789.5 KB 	 53287	2 ms	166.0 KB 	 1463
215	796.9 KB 	 53806	11 ms	172.0 KB 	 1563
216	795.5 KB 	 55266	10 ms	173.2 KB 	 1561
217	787.2 KB 	 54057	16 ms	169.2 KB 	 1494
218	788.6 KB 	 54088	2 ms	162.7 KB 	 1426
219	780.7 KB 	 55336	25 ms	169.3 KB 	 1517
220	795.2 KB 	 53899	43 ms	178.2 KB 	 1607
221	793.6 KB 	 54622	36 ms	169.5 KB 	 1504
222	795.3 KB 	 54594	2 ms	175.5 KB 	 1577
223	786.2 KB 	 54239	9 ms	163.7 KB 	 1446
224	786.2 KB 	 54238	33 ms	166.8 KB 	 1472
225	786.5 KB 	 53169	25 ms	170.1 KB 	 1514
226	799.7 KB 	 54373	12 ms	184.7 KB 	 1694
227	801.6 KB 	 53963	3 ms	175.3 KB 	 1577
228	793.2 KB 	 54222	2 ms	176.2 KB 	 1577
229	801.9 KB 	 54758	45 ms	178.4 KB 	 1616
230	793.9 KB 	 55867	2 ms	164.0 KB 	 1459
231	792.2 KB 	 55223	49 ms	172.1 KB 	 1538
232	791.9 KB 	 54253	3 ms	175.9 KB 	 1586
233	795.7 KB 	 55235	2 ms	168.0 KB 	 1498
234	790.9 KB 	 54939	2 ms	170.8 KB 	 1514
235	790.5 KB 	 53329	44 ms	173.5 KB 	 1545
236	792.7 KB 	 53819	5 ms	179.2 KB 	 1629
237	797.7 KB 	 54620	35 ms	169.8 KB 	 1505
238	796.7 KB 	 54333	2 ms	167.2 KB 	 1495
239	789.8 KB 	 54007	6 ms	166.3 KB 	 1466
240	788.8 KB 	 53667	3 ms	172.4 KB 	 1545
241	793.6 KB 	 54025	42 ms	173.6 KB 	 1573
242	799.1 KB 	 54852	9 ms	178.4 KB 	 1614
243	795.5 KB 	 53511	8 ms	177.8 KB 	 1637
244	792.5 KB 	 54374	2 ms	167.1 KB 	 1459
245	799.2 KB 	 55456	5 ms	174.2 KB 	 1551
246	785.6 KB 	 53567	2 ms	168.2 KB 	 1484
247	810.4 KB 	 54756	7 ms	177.6 KB 	 1608
248	781.1 KB 	 53847	3 ms	168.2 KB 	 1500
249	795.5 KB 	 53242	28 ms	181.7 KB 	 1658
